round,workload,variant,active_cpu_ms,frames,samples,audio_sum,audio_energy,checksum,mapper,region
1,nes15-pal,baseline,12725,2000,1881337,-0.112971323,2224.6318,04d1673f,0,PAL
1,nes15-pal,candidate,12925,2000,1881337,-0.112971323,2224.6318,04d1673f,0,PAL
1,uxrom-pcm,baseline,9290,2000,1467583,0.0260105593,1731.87211,5f22b1e6,2,NTSC
1,uxrom-pcm,candidate,9553,2000,1467583,0.0260105593,1731.87211,5f22b1e6,2,NTSC
1,nestress,baseline,11432,2000,1467583,0,0,88992fa6,0,NTSC
1,nestress,candidate,9803,2000,1467583,0,0,88992fa6,0,NTSC
1,accuracycoin,baseline,6882,2000,1467589,1.03728881e-08,3.37310887,7749161d,0,NTSC
1,accuracycoin,candidate,6253,2000,1467589,1.03728881e-08,3.37310887,7749161d,0,NTSC
1,smb-ntsc,baseline,11498,2000,1467583,-1.35754188e-06,1257.3221,9d34d4b8,0,NTSC
1,smb-ntsc,candidate,7600,2000,1467583,-1.35754188e-06,1257.3221,9d34d4b8,0,NTSC
1,metroid-mmc1,baseline,5258,2000,1467583,1.37507199,1354.53034,3cff855b,1,NTSC
1,metroid-mmc1,candidate,5673,2000,1467583,1.37507199,1354.53034,3cff855b,1,NTSC
1,smb3-mmc3,baseline,7123,2000,1467583,-1.33143073,1031.30236,5d18ebd6,4,NTSC
1,smb3-mmc3,candidate,7178,2000,1467583,-1.33143073,1031.30236,5d18ebd6,4,NTSC
2,nes15-pal,candidate,8631,2000,1881337,-0.112971323,2224.6318,04d1673f,0,PAL
2,nes15-pal,baseline,5392,2000,1881337,-0.112971323,2224.6318,04d1673f,0,PAL
2,uxrom-pcm,candidate,6987,2000,1467583,0.0260105593,1731.87211,5f22b1e6,2,NTSC
2,uxrom-pcm,baseline,4546,2000,1467583,0.0260105593,1731.87211,5f22b1e6,2,NTSC
2,nestress,candidate,4804,2000,1467583,0,0,88992fa6,0,NTSC
2,nestress,baseline,4716,2000,1467583,0,0,88992fa6,0,NTSC
2,accuracycoin,candidate,3559,2000,1467589,1.03728881e-08,3.37310887,7749161d,0,NTSC
2,accuracycoin,baseline,3507,2000,1467589,1.03728881e-08,3.37310887,7749161d,0,NTSC
2,smb-ntsc,candidate,7530,2000,1467583,-1.35754188e-06,1257.3221,9d34d4b8,0,NTSC
2,smb-ntsc,baseline,8159,2000,1467583,-1.35754188e-06,1257.3221,9d34d4b8,0,NTSC
2,metroid-mmc1,candidate,6247,2000,1467583,1.37507199,1354.53034,3cff855b,1,NTSC
2,metroid-mmc1,baseline,5207,2000,1467583,1.37507199,1354.53034,3cff855b,1,NTSC
2,smb3-mmc3,candidate,5383,2000,1467583,-1.33143073,1031.30236,5d18ebd6,4,NTSC
2,smb3-mmc3,baseline,5027,2000,1467583,-1.33143073,1031.30236,5d18ebd6,4,NTSC
3,nes15-pal,baseline,5749,2000,1881337,-0.112971323,2224.6318,04d1673f,0,PAL
3,nes15-pal,candidate,5850,2000,1881337,-0.112971323,2224.6318,04d1673f,0,PAL
3,uxrom-pcm,baseline,5595,2000,1467583,0.0260105593,1731.87211,5f22b1e6,2,NTSC
3,uxrom-pcm,candidate,6547,2000,1467583,0.0260105593,1731.87211,5f22b1e6,2,NTSC
3,nestress,baseline,5455,2000,1467583,0,0,88992fa6,0,NTSC
3,nestress,candidate,4926,2000,1467583,0,0,88992fa6,0,NTSC
3,accuracycoin,baseline,4603,2000,1467589,1.03728881e-08,3.37310887,7749161d,0,NTSC
3,accuracycoin,candidate,3888,2000,1467589,1.03728881e-08,3.37310887,7749161d,0,NTSC
3,smb-ntsc,baseline,5180,2000,1467583,-1.35754188e-06,1257.3221,9d34d4b8,0,NTSC
3,smb-ntsc,candidate,4738,2000,1467583,-1.35754188e-06,1257.3221,9d34d4b8,0,NTSC
3,metroid-mmc1,baseline,5872,2000,1467583,1.37507199,1354.53034,3cff855b,1,NTSC
3,metroid-mmc1,candidate,5288,2000,1467583,1.37507199,1354.53034,3cff855b,1,NTSC
3,smb3-mmc3,baseline,5149,2000,1467583,-1.33143073,1031.30236,5d18ebd6,4,NTSC
3,smb3-mmc3,candidate,13223,2000,1467583,-1.33143073,1031.30236,5d18ebd6,4,NTSC
