round,workload,variant,active_cpu_ms,efficiency_core_percent,frames,samples,audio_sum,audio_energy,checksum,mapper,region
1,nes15-pal,baseline,16540,93.92,2000,1881337,-0.112971323,2224.6318,04d1673f,0,PAL
1,nes15-pal,refined,23909,99.99,2000,1881337,-0.112971323,2224.6318,04d1673f,0,PAL
1,smb-ntsc,baseline,16942,98.54,2000,1467583,-1.35754188e-06,1257.3221,9d34d4b8,0,NTSC
1,smb-ntsc,refined,16233,100.0,2000,1467583,-1.35754188e-06,1257.3221,9d34d4b8,0,NTSC
1,metroid-mmc1,baseline,20183,98.03,2000,1467583,1.37507199,1354.53034,3cff855b,1,NTSC
1,metroid-mmc1,refined,18932,92.15,2000,1467583,1.37507199,1354.53034,3cff855b,1,NTSC
2,nes15-pal,refined,24470,100.0,2000,1881337,-0.112971323,2224.6318,04d1673f,0,PAL
2,nes15-pal,baseline,14445,77.98,2000,1881337,-0.112971323,2224.6318,04d1673f,0,PAL
2,smb-ntsc,refined,7498,0.92,2000,1467583,-1.35754188e-06,1257.3221,9d34d4b8,0,NTSC
2,smb-ntsc,baseline,6838,0.0,2000,1467583,-1.35754188e-06,1257.3221,9d34d4b8,0,NTSC
2,metroid-mmc1,refined,5182,0.0,2000,1467583,1.37507199,1354.53034,3cff855b,1,NTSC
2,metroid-mmc1,baseline,9122,0.02,2000,1467583,1.37507199,1354.53034,3cff855b,1,NTSC
3,nes15-pal,baseline,9380,0.0,2000,1881337,-0.112971323,2224.6318,04d1673f,0,PAL
3,nes15-pal,refined,10463,0.13,2000,1881337,-0.112971323,2224.6318,04d1673f,0,PAL
3,smb-ntsc,baseline,7100,0.0,2000,1467583,-1.35754188e-06,1257.3221,9d34d4b8,0,NTSC
3,smb-ntsc,refined,7359,0.01,2000,1467583,-1.35754188e-06,1257.3221,9d34d4b8,0,NTSC
3,metroid-mmc1,baseline,7396,0.0,2000,1467583,1.37507199,1354.53034,3cff855b,1,NTSC
3,metroid-mmc1,refined,7742,0.03,2000,1467583,1.37507199,1354.53034,3cff855b,1,NTSC
